id,season,week,seasonType,startTime,isStartTimeTBD,homeTeam,homeConference,awayTeam,awayConference,mediaType,outlet
401114154,2019,2,regular,2019-09-07T02:00:00.000Z,,Arizona State,Pac-12,Sacramento State,,tv,PAC12
401110784,2019,2,regular,2019-09-07T19:30:00.000Z,,Clemson,ACC,Texas A&M,SEC,tv,ABC
401110773,2019,2,regular,2019-09-07T20:00:00.000Z,,Alabama,SEC,New Mexico State,FBS Independents,tv,SECN
401110776,2019,2,regular,2019-09-07T20:00:00.000Z,,Georgia,SEC,Murray State,,tv,ESPN2
401112252,2019,2,regular,2019-09-07T16:00:00.000Z,,Ohio State,Big Ten,Cincinnati,American Athletic,tv,ABC
401110778,2019,2,regular,2019-09-07T23:30:00.000Z,,Texas,Big 12,LSU,SEC,tv,ABC
401112223,2019,2,regular,2019-09-07T16:00:00.000Z,,Michigan,Big Ten,Army,FBS Independents,tv,FOX
401110774,2019,2,regular,2019-09-07T23:30:00.000Z,,Auburn,SEC,Tulane,American Athletic,tv,ESPN2
401110775,2019,2,regular,2019-09-07T23:30:00.000Z,,Florida,SEC,UT Martin,,tv,ESPNU
401114224,2019,2,regular,2019-09-07T17:00:00.000Z,,Utah,Pac-12,Northern Illinois,Mid-American,tv,PAC12
401114175,2019,2,regular,2019-09-08T02:30:00.000Z,,Washington,Pac-12,California,Pac-12,tv,FS1
401112258,2019,2,regular,2019-09-07T23:30:00.000Z,,Penn State,Big Ten,Buffalo,Mid-American,tv,FOX
401114193,2019,2,regular,2019-09-07T23:30:00.000Z,,Oregon,Pac-12,Nevada,Mountain West,tv,PAC12
401112268,2019,2,regular,2019-09-07T19:30:00.000Z,,Wisconsin,Big Ten,Central Michigan,Mid-American,tv,BTN
401114249,2019,2,regular,2019-09-07T23:00:00.000Z,,Florida Atlantic,Conference USA,UCF,American Athletic,tv,CBSSN
401112213,2019,2,regular,2019-09-07T23:30:00.000Z,,Michigan State,Big Ten,Western Michigan,Mid-American,tv,BTN
401112192,2019,2,regular,2019-09-07T16:00:00.000Z,,Iowa,Big Ten,Rutgers,Big Ten,tv,FS1
401112202,2019,2,regular,2019-09-07T16:00:00.000Z,,Maryland,Big Ten,Syracuse,ACC,tv,ESPN
401114207,2019,2,regular,2019-09-08T02:30:00.000Z,,USC,Pac-12,Stanford,Pac-12,tv,ESPN
401114207,2019,2,regular,2019-09-08T02:30:00.000Z,,USC,Pac-12,Stanford,Pac-12,radio,ESPNRM
401112239,2019,2,regular,2019-09-07T19:30:00.000Z,,Colorado,Pac-12,Nebraska,Big Ten,tv,FOX
401112445,2019,2,regular,2019-09-07T15:00:00.000Z,,Pittsburgh,ACC,Ohio,Mid-American,tv,ACCN
401112446,2019,2,regular,2019-09-07T16:00:00.000Z,,Virginia Tech,ACC,Old Dominion,Conference USA,tv,ESPNU
401114254,2019,2,regular,2019-09-07T16:00:00.000Z,,Akron,Mid-American,UAB,Conference USA,tv,CBSSN
401119261,2019,2,regular,2019-09-07T16:00:00.000Z,,Kent State,Mid-American,Kennesaw State,,web,ESPN3
401117862,2019,2,regular,2019-09-07T16:00:00.000Z,,Memphis,American Athletic,Southern,,web,ESPN3
401110781,2019,2,regular,2019-09-07T16:00:00.000Z,,Missouri,SEC,West Virginia,Big 12,tv,ESPN2
401110782,2019,2,regular,2019-09-07T16:00:00.000Z,,South Carolina,SEC,Charleston Southern,,tv,SECN
401110785,2019,2,regular,2019-09-07T16:00:00.000Z,,Purdue,Big Ten,Vanderbilt,SEC,tv,BTN
401112444,2019,2,regular,2019-09-07T16:30:00.000Z,,NC State,ACC,Western Carolina,,web,ACCNX
401119260,2019,2,regular,2019-09-07T18:00:00.000Z,,Ball State,Mid-American,Fordham,,web,ESPN3
401112441,2019,2,regular,2019-09-07T18:00:00.000Z,,Georgia Tech,ACC,South Florida,American Athletic,tv,ACCN
401119262,2019,2,regular,2019-09-07T18:30:00.000Z,,Miami (OH),Mid-American,Tennessee Tech,,web,ESPN+
401114247,2019,2,regular,2019-09-07T19:30:00.000Z,,Appalachian State,Sun Belt,Charlotte,Conference USA,web,ESPN+
