season,team,conference,statName,statValue
2019,Connecticut,American Athletic,passesIntercepted,7
2019,Missouri,SEC,fumblesRecovered,13
2019,Army,FBS Independents,rushingYards,3863
2019,Northwestern,Big Ten,firstDowns,211
2019,Cincinnati,American Athletic,rushingTDs,30
2019,Georgia,SEC,penalties,76
2019,Michigan,Big Ten,kickReturnTDs,1
2019,Michigan State,Big Ten,passCompletions,270
2019,New Mexico,Mountain West,kickReturnTDs,0
2019,Wyoming,Mountain West,fumblesRecovered,12
2019,South Florida,American Athletic,interceptionTDs,0
2019,Texas A&M,SEC,thirdDownConversions,64
2019,Texas,Big 12,puntReturnYards,155
2019,Louisiana Tech,Conference USA,totalYards,5679
2019,Alabama,SEC,firstDowns,318
2019,Boston College,ACC,interceptionTDs,1
2019,Louisiana,Sun Belt,penaltyYards,817
2019,Northern Illinois,Mid-American,turnovers,15
2019,Western Kentucky,Conference USA,penaltyYards,514
2019,LSU,SEC,fumblesRecovered,4
2019,Buffalo,Mid-American,interceptions,6
2019,Texas A&M,SEC,passCompletions,273
2019,Fresno State,Mountain West,rushingYards,1911
2019,Rice,Conference USA,netPassingYards,1992
2019,Ohio,Mid-American,kickReturnYards,803
2019,NC State,ACC,totalYards,4563
2019,Western Kentucky,Conference USA,fumblesRecovered,5
2019,Iowa,Big Ten,sacks,41
2019,Rice,Conference USA,kickReturns,28
2019,UT San Antonio,Conference USA,penaltyYards,829
2019,USC,Pac-12,rushingAttempts,391
2019,Ohio,Mid-American,thirdDownConversions,83
2019,Texas State,Sun Belt,fourthDownConversions,4
2019,Alabama,SEC,sacks,37
2019,Ole Miss,SEC,kickReturnYards,404
2019,Washington,Pac-12,penaltyYards,639
2019,Western Kentucky,Conference USA,turnovers,21
2019,Arkansas State,Sun Belt,puntReturns,24
2019,Oklahoma,Big 12,kickReturnYards,608
2019,Buffalo,Mid-American,fumblesLost,8
2019,Virginia Tech,ACC,rushingYards,2289
2019,Pittsburgh,ACC,passCompletions,316
2019,Western Kentucky,Conference USA,puntReturnYards,65
2019,Indiana,Big Ten,puntReturns,17
2019,South Florida,American Athletic,totalYards,3970
2019,Ball State,Mid-American,interceptionTDs,0
2019,USC,Pac-12,tacklesForLoss,94
2019,Clemson,ACC,puntReturns,34
2019,Old Dominion,Conference USA,kickReturnTDs,0
2019,Temple,American Athletic,passesIntercepted,8
2019,New Mexico State,FBS Independents,rushingAttempts,386
2019,Georgia State,Sun Belt,turnovers,16
2019,UCF,American Athletic,possessionTime,20660
2019,NC State,ACC,thirdDowns,182
2019,Eastern Michigan,Mid-American,tacklesForLoss,62
2019,Oklahoma,Big 12,passAttempts,381
2019,Vanderbilt,SEC,kickReturns,24
2019,San Diego State,Mountain West,thirdDowns,207
2019,Miami,ACC,possessionTime,23558
2019,Oregon,Pac-12,games,14
2019,Florida,SEC,netPassingYards,3910
2019,New Mexico State,FBS Independents,puntReturns,18
2019,Duke,ACC,rushingYards,1804
2019,Rice,Conference USA,rushingYards,1538
2019,North Texas,Conference USA,rushingAttempts,396
2019,Florida State,ACC,fourthDownConversions,11
2019,Akron,Mid-American,firstDowns,156
2019,Iowa,Big Ten,firstDowns,248
2019,Kansas,Big 12,passCompletions,235
2019,Georgia,SEC,firstDowns,295
2019,Missouri,SEC,kickReturnYards,161
2019,Cincinnati,American Athletic,fourthDowns,17
2019,Colorado State,Mountain West,fumblesLost,13
2019,Tulsa,American Athletic,interceptionTDs,0
2019,New Mexico,Mountain West,puntReturnTDs,0
2019,Navy,American Athletic,passesIntercepted,12
2019,Western Michigan,Mid-American,thirdDowns,190
2019,New Mexico State,FBS Independents,fumblesRecovered,8
2019,Ole Miss,SEC,tacklesForLoss,108
2019,Oklahoma,Big 12,interceptions,9
2019,UT San Antonio,Conference USA,passAttempts,366
2019,UCLA,Pac-12,passesIntercepted,5
2019,Charlotte,Conference USA,thirdDowns,157
2019,Oklahoma State,Big 12,turnovers,20
2019,Ole Miss,SEC,fumblesRecovered,10
2019,Texas A&M,SEC,interceptionYards,87
2019,Kansas,Big 12,passesIntercepted,6
2019,Iowa,Big Ten,fourthDowns,21
2019,Kansas,Big 12,possessionTime,19240
2019,Colorado,Pac-12,puntReturnYards,57
2019,UTEP,Conference USA,possessionTime,23126
2019,Texas Tech,Big 12,puntReturnTDs,0
2019,Michigan,Big Ten,firstDowns,286
2019,Indiana,Big Ten,fourthDowns,18
2019,Miami (OH),Mid-American,fourthDowns,17
2019,UAB,Conference USA,thirdDownConversions,57
2019,Clemson,ACC,fumblesRecovered,16
2019,Duke,ACC,passCompletions,213
2019,Purdue,Big Ten,kickReturns,36
2019,Georgia Southern,Sun Belt,kickReturns,20
2019,NC State,ACC,puntReturns,15
2019,Kent State,Mid-American,netPassingYards,2846
2019,South Alabama,Sun Belt,games,12
2019,New Mexico State,FBS Independents,kickReturnTDs,0
2019,Tennessee,SEC,fumblesRecovered,5
2019,Ohio,Mid-American,tacklesForLoss,81
2019,Akron,Mid-American,totalYards,2906
2019,Louisville,ACC,thirdDowns,174
2019,Wyoming,Mountain West,totalYards,4562
2019,Penn State,Big Ten,penaltyYards,589
2019,Southern Mississippi,Conference USA,kickReturns,37
2019,Hawai'i,Mountain West,passesIntercepted,14
2019,Utah State,Mountain West,passAttempts,504
2019,Ohio,Mid-American,interceptions,6
2019,UNLV,Mountain West,interceptionYards,95
2019,Liberty,FBS Independents,turnovers,16
2019,UNLV,Mountain West,interceptions,12
2019,Miami (OH),Mid-American,penaltyYards,683
2019,Mississippi State,SEC,tacklesForLoss,90
2019,New Mexico State,FBS Independents,firstDowns,228
2019,Florida State,ACC,thirdDowns,192
2019,Utah,Pac-12,totalYards,6006
2019,Oklahoma,Big 12,rushingTDs,38
2019,Troy,Sun Belt,kickReturnTDs,1
2019,UNLV,Mountain West,puntReturnTDs,0
2019,Fresno State,Mountain West,thirdDownConversions,55
2019,Alabama,SEC,fumblesLost,4
2019,Oregon State,Pac-12,netPassingYards,3061
2019,Northern Illinois,Mid-American,games,12
2019,Ole Miss,SEC,sacks,52
2019,Rutgers,Big Ten,passAttempts,278
2019,Memphis,American Athletic,interceptionYards,53
2019,NC State,ACC,puntReturnYards,203
2019,Troy,Sun Belt,turnovers,18
2019,Iowa,Big Ten,thirdDowns,190
2019,Kentucky,SEC,interceptionYards,95
2019,Arkansas State,Sun Belt,fumblesLost,11
2019,Indiana,Big Ten,passCompletions,321
2019,San Diego State,Mountain West,kickReturnTDs,1
2019,Troy,Sun Belt,firstDowns,295
2019,Wyoming,Mountain West,interceptions,9
2019,Texas State,Sun Belt,kickReturnYards,899
2019,Kansas State,Big 12,passesIntercepted,11
2019,Purdue,Big Ten,firstDowns,247
2019,New Mexico State,FBS Independents,fourthDowns,26
2019,Northwestern,Big Ten,fourthDowns,28
2019,Georgia State,Sun Belt,puntReturnYards,32
2019,Florida,SEC,totalYards,5597
2019,Arkansas State,Sun Belt,interceptionYards,205
2019,Nevada,Mountain West,puntReturns,19
2019,North Carolina,ACC,fumblesLost,5
2019,Tulsa,American Athletic,rushingTDs,18
2019,Utah State,Mountain West,fourthDownConversions,3
2019,UT San Antonio,Conference USA,rushingAttempts,452
2019,Buffalo,Mid-American,netPassingYards,1795
2019,Tulsa,American Athletic,kickReturns,29
2019,UT San Antonio,Conference USA,turnovers,23
2019,Mississippi State,SEC,puntReturns,11
2019,Rutgers,Big Ten,kickReturnTDs,0
2019,Maryland,Big Ten,netPassingYards,2088
2019,Ole Miss,SEC,interceptions,5
2019,Ole Miss,SEC,interceptionTDs,0
2019,Alabama,SEC,puntReturnYards,531
2019,Colorado State,Mountain West,fumblesRecovered,13
2019,Notre Dame,FBS Independents,totalYards,5589
2019,Louisiana,Sun Belt,netPassingYards,3314
2019,Cincinnati,American Athletic,interceptions,11
2019,Mississippi State,SEC,passAttempts,315
2019,Northwestern,Big Ten,rushingTDs,17
2019,Air Force,Mountain West,fourthDownConversions,16
2019,Notre Dame,FBS Independents,fourthDowns,25
2019,Coastal Carolina,Sun Belt,fumblesLost,8
2019,Nevada,Mountain West,thirdDownConversions,75
2019,USC,Pac-12,passCompletions,365
2019,Rutgers,Big Ten,netPassingYards,1672
2019,Hawai'i,Mountain West,fumblesRecovered,6
2019,Notre Dame,FBS Independents,sacks,47
2019,Mississippi State,SEC,turnovers,23
2019,Ole Miss,SEC,fourthDownConversions,17
2019,Utah,Pac-12,fourthDownConversions,11
2019,Air Force,Mountain West,kickReturnYards,93
2019,USC,Pac-12,sacks,38
2019,Appalachian State,Sun Belt,puntReturnYards,220
2019,Oregon,Pac-12,passCompletions,298
2019,Charlotte,Conference USA,kickReturns,30
2019,BYU,FBS Independents,fumblesLost,10
2019,Florida,SEC,rushingAttempts,398
2019,Bowling Green,Mid-American,passCompletions,189
2019,Maryland,Big Ten,puntReturnYards,123
2019,Notre Dame,FBS Independents,tacklesForLoss,139
2019,NC State,ACC,penalties,71
2019,Hawai'i,Mountain West,netPassingYards,5059
2019,Louisiana,Sun Belt,kickReturns,40
2019,Georgia,SEC,kickReturns,16
2019,Middle Tennessee,Conference USA,turnovers,14
2019,BYU,FBS Independents,firstDowns,293
2019,Florida Atlantic,Conference USA,totalYards,6247
2019,San José State,Mountain West,interceptions,7
2019,East Carolina,American Athletic,interceptions,10
2019,UAB,Conference USA,tacklesForLoss,146
2019,Georgia Tech,ACC,fourthDownConversions,8
2019,Ole Miss,SEC,thirdDowns,182
2019,Stanford,Pac-12,tacklesForLoss,93
2019,Old Dominion,Conference USA,thirdDownConversions,57
2019,Colorado,Pac-12,rushingTDs,14
2019,Missouri,SEC,penalties,83
2019,Georgia Tech,ACC,turnovers,20
2019,Maryland,Big Ten,kickReturns,45
2019,Western Kentucky,Conference USA,rushingYards,1670
2019,Oklahoma State,Big 12,sacks,28
2019,Illinois,Big Ten,interceptions,9
2019,Ball State,Mid-American,sacks,21
2019,Duke,ACC,kickReturns,37
2019,Michigan State,Big Ten,totalYards,4835
2019,Tulsa,American Athletic,fumblesLost,10
2019,Louisiana Monroe,Sun Belt,thirdDowns,175
2019,Connecticut,American Athletic,firstDowns,223
2019,Memphis,American Athletic,turnovers,20
2019,Alabama,SEC,tacklesForLoss,101
2019,USC,Pac-12,fumblesRecovered,13
