season,team,conference,statName,statValue
2019,Old Dominion,Conference USA,puntReturnYards,100
2019,SMU,American Athletic,kickReturnYards,1113
2019,SMU,American Athletic,interceptionYards,91
2019,Miami (OH),Mid-American,puntReturnYards,313
2019,Utah State,Mountain West,fumblesRecovered,20
2019,Washington,Pac-12,sacks,34
2019,Georgia Tech,ACC,passCompletions,124
2019,San Diego State,Mountain West,fourthDowns,23
2019,Michigan,Big Ten,possessionTime,23032
2019,Navy,American Athletic,interceptionTDs,1
2019,Tennessee,SEC,fumblesLost,7
2019,Alabama,SEC,passingTDs,49
2019,South Florida,American Athletic,fumblesRecovered,20
2019,Georgia State,Sun Belt,sacks,29
2019,Duke,ACC,passAttempts,378
2019,USC,Pac-12,passingTDs,35
2019,Tennessee,SEC,kickReturnYards,290
2019,Liberty,FBS Independents,totalYards,5712
2019,Louisiana Monroe,Sun Belt,puntReturnTDs,0
2019,Florida State,ACC,penaltyYards,953
2019,UMass,FBS Independents,totalYards,3517
2019,Northwestern,Big Ten,passingTDs,6
2019,Arizona,Pac-12,passCompletions,261
2019,Kent State,Mid-American,puntReturnTDs,0
2019,Clemson,ACC,rushingAttempts,566
2019,Ball State,Mid-American,totalYards,5556
2019,Minnesota,Big Ten,penalties,55
2019,West Virginia,Big 12,fumblesRecovered,9
2019,Purdue,Big Ten,passCompletions,320
2019,Temple,American Athletic,interceptionTDs,1
2019,Oklahoma State,Big 12,fourthDownConversions,11
2019,New Mexico,Mountain West,kickReturns,29
2019,Boston College,ACC,passesIntercepted,10
2019,USC,Pac-12,thirdDowns,168
2019,Tulane,American Athletic,totalYards,5841
2019,Cincinnati,American Athletic,turnovers,20
2019,Boston College,ACC,thirdDowns,207
2019,Ball State,Mid-American,puntReturnYards,112
2019,USC,Pac-12,penaltyYards,877
2019,Western Kentucky,Conference USA,netPassingYards,3371
2019,Florida International,Conference USA,penaltyYards,751
2019,Middle Tennessee,Conference USA,possessionTime,19270
2019,Kansas,Big 12,rushingTDs,10
2019,SMU,American Athletic,passCompletions,313
2019,Louisville,ACC,kickReturnYards,904
2019,Wyoming,Mountain West,tacklesForLoss,104
2019,Temple,American Athletic,tacklesForLoss,116
2019,Notre Dame,FBS Independents,penalties,84
2019,USC,Pac-12,firstDowns,299
2019,Troy,Sun Belt,interceptions,11
2019,Illinois,Big Ten,passingTDs,19
2019,Memphis,American Athletic,puntReturnTDs,1
2019,Minnesota,Big Ten,rushingYards,2323
2019,Toledo,Mid-American,rushingAttempts,516
2019,Louisiana Monroe,Sun Belt,fourthDowns,28
2019,Oklahoma State,Big 12,passCompletions,232
2019,Nevada,Mountain West,passCompletions,309
2019,Georgia,SEC,passingTDs,26
2019,Florida Atlantic,Conference USA,passesIntercepted,22
2019,Temple,American Athletic,sacks,48
2019,Nevada,Mountain West,kickReturnTDs,0
2019,Illinois,Big Ten,passCompletions,197
2019,Missouri,SEC,puntReturnTDs,1
2019,Georgia,SEC,fourthDownConversions,6
2019,Texas Tech,Big 12,fumblesLost,8
2019,Georgia Tech,ACC,rushingAttempts,448
2019,Notre Dame,FBS Independents,puntReturnTDs,0
2019,Toledo,Mid-American,interceptionYards,54
2019,Rutgers,Big Ten,fumblesLost,8
2019,SMU,American Athletic,puntReturns,23
2019,Navy,American Athletic,firstDowns,282
2019,Old Dominion,Conference USA,totalYards,3285
2019,SMU,American Athletic,penalties,83
2019,Memphis,American Athletic,kickReturnTDs,3
2019,Louisiana,Sun Belt,totalYards,6918
2019,Wisconsin,Big Ten,penaltyYards,636
2019,Ball State,Mid-American,fumblesLost,9
2019,Boise State,Mountain West,sacks,53
2019,Auburn,SEC,passCompletions,228
2019,Miami,ACC,passesIntercepted,10
2019,Rice,Conference USA,possessionTime,22472
2019,SMU,American Athletic,games,13
2019,UT San Antonio,Conference USA,possessionTime,21119
2019,Oklahoma,Big 12,interceptionYards,31
2019,Memphis,American Athletic,fourthDowns,24
2019,Boise State,Mountain West,passingTDs,31
2019,Purdue,Big Ten,turnovers,23
2019,Boston College,ACC,sacks,22
2019,Iowa,Big Ten,puntReturnTDs,0
2019,Houston,American Athletic,thirdDownConversions,54
2019,Southern Mississippi,Conference USA,rushingYards,1527
2019,Colorado State,Mountain West,penalties,80
2019,Auburn,SEC,possessionTime,22683
2019,South Carolina,SEC,interceptionTDs,1
2019,Oregon,Pac-12,kickReturns,29
2019,Akron,Mid-American,rushingTDs,2
2019,Colorado State,Mountain West,sacks,34
2019,Boise State,Mountain West,tacklesForLoss,104
2019,Texas Tech,Big 12,interceptionYards,162
2019,Miami,ACC,puntReturns,21
2019,North Carolina,ACC,interceptions,7
2019,Florida Atlantic,Conference USA,fourthDownConversions,13
2019,Louisiana Tech,Conference USA,passCompletions,285
2019,Miami (OH),Mid-American,tacklesForLoss,134
2019,Ole Miss,SEC,possessionTime,20326
2019,Syracuse,ACC,turnovers,16
2019,Boise State,Mountain West,fourthDownConversions,10
2019,Georgia Tech,ACC,penaltyYards,493
2019,Louisville,ACC,passingTDs,32
2019,Charlotte,Conference USA,puntReturns,19
2019,Louisiana Monroe,Sun Belt,fumblesRecovered,13
2019,Kent State,Mid-American,totalYards,5273
2019,Air Force,Mountain West,interceptionTDs,3
2019,Mississippi State,SEC,passingTDs,19
2019,Liberty,FBS Independents,interceptionTDs,1
2019,Toledo,Mid-American,fumblesLost,12
2019,Purdue,Big Ten,netPassingYards,3719
2019,Michigan State,Big Ten,puntReturnYards,167
2019,Nebraska,Big Ten,netPassingYards,2551
2019,Baylor,Big 12,kickReturnYards,472
2019,San José State,Mountain West,turnovers,12
2019,Northern Illinois,Mid-American,fourthDowns,21
2019,Western Michigan,Mid-American,fumblesRecovered,14
2019,Fresno State,Mountain West,interceptionYards,165
2019,NC State,ACC,kickReturns,23
2019,Duke,ACC,rushingAttempts,495
2019,Florida Atlantic,Conference USA,kickReturnYards,406
2019,Kentucky,SEC,puntReturns,19
2019,South Florida,American Athletic,interceptionYards,279
2019,Buffalo,Mid-American,kickReturnYards,181
2019,Hawai'i,Mountain West,rushingAttempts,420
2019,Texas State,Sun Belt,turnovers,24
2019,Toledo,Mid-American,possessionTime,21437
2019,Rice,Conference USA,passCompletions,180
2019,South Alabama,Sun Belt,rushingTDs,15
2019,Rice,Conference USA,kickReturnYards,530
2019,Oregon State,Pac-12,firstDowns,267
2019,Purdue,Big Ten,interceptionYards,135
2019,Rutgers,Big Ten,passingTDs,7
2019,Kentucky,SEC,thirdDowns,162
2019,South Alabama,Sun Belt,fumblesLost,11
2019,Louisville,ACC,penaltyYards,780
2019,UNLV,Mountain West,games,12
2019,Central Michigan,Mid-American,rushingTDs,33
2019,Oklahoma,Big 12,kickReturns,35
2019,Pittsburgh,ACC,rushingYards,1544
2019,Texas A&M,SEC,kickReturnTDs,0
2019,Marshall,Conference USA,fumblesRecovered,9
2019,Marshall,Conference USA,kickReturnTDs,0
2019,Oklahoma,Big 12,fourthDownConversions,8
2019,Virginia Tech,ACC,penaltyYards,680
2019,Memphis,American Athletic,interceptionTDs,1
2019,Central Michigan,Mid-American,fumblesLost,17
2019,Missouri,SEC,fumblesLost,6
2019,Michigan,Big Ten,passCompletions,228
2019,Clemson,ACC,games,15
2019,Texas,Big 12,fumblesLost,4
2019,Iowa State,Big 12,rushingAttempts,412
2019,Toledo,Mid-American,fourthDowns,31
2019,Tulsa,American Athletic,rushingYards,1660
2019,Oklahoma State,Big 12,interceptionTDs,2
2019,South Florida,American Athletic,firstDowns,200
2019,California,Pac-12,passAttempts,365
2019,NC State,ACC,interceptions,10
2019,Toledo,Mid-American,puntReturnYards,154
2019,Louisville,ACC,games,13
2019,Temple,American Athletic,passAttempts,472
2019,Tennessee,SEC,passAttempts,360
2019,Marshall,Conference USA,totalYards,5109
2019,UT San Antonio,Conference USA,puntReturns,24
2019,UAB,Conference USA,passAttempts,338
2019,Baylor,Big 12,rushingYards,2329
2019,Arizona,Pac-12,puntReturnTDs,0
2019,Baylor,Big 12,passingTDs,24
2019,Iowa,Big Ten,rushingAttempts,453
2019,Texas A&M,SEC,passingTDs,22
2019,UMass,FBS Independents,kickReturnTDs,0
2019,Coastal Carolina,Sun Belt,interceptions,9
2019,Appalachian State,Sun Belt,kickReturns,25
2019,Western Kentucky,Conference USA,firstDowns,267
2019,Florida International,Conference USA,kickReturnYards,496
2019,Virginia,ACC,sacks,60
2019,Syracuse,ACC,kickReturnYards,649
2019,Southern Mississippi,Conference USA,fumblesRecovered,7
2019,Tulane,American Athletic,possessionTime,23801
2019,Oregon,Pac-12,passingTDs,35
2019,Boston College,ACC,netPassingYards,2288
2019,TCU,Big 12,fumblesLost,9
2019,Air Force,Mountain West,kickReturnTDs,0
2019,Coastal Carolina,Sun Belt,passingTDs,21
2019,Colorado,Pac-12,sacks,24
2019,Wake Forest,ACC,interceptions,13
2019,TCU,Big 12,sacks,33
2019,Iowa,Big Ten,possessionTime,24981
2019,Marshall,Conference USA,firstDowns,271
2019,UMass,FBS Independents,sacks,13
2019,Eastern Michigan,Mid-American,puntReturns,16
2019,Marshall,Conference USA,interceptionYards,166
2019,Miami,ACC,turnovers,17
2019,UAB,Conference USA,fumblesLost,8
2019,Cincinnati,American Athletic,interceptionTDs,3
2019,Florida State,ACC,passCompletions,279
2019,NC State,ACC,penaltyYards,627
2019,Oklahoma,Big 12,interceptionTDs,1
2019,Tulane,American Athletic,kickReturns,43
2019,East Carolina,American Athletic,rushingYards,1696
2019,Wisconsin,Big Ten,kickReturnTDs,2
2019,Georgia Southern,Sun Belt,passesIntercepted,9
2019,Texas,Big 12,rushingTDs,26
2019,Old Dominion,Conference USA,fumblesRecovered,12
2019,Wyoming,Mountain West,turnovers,15
2019,Eastern Michigan,Mid-American,sacks,31
2019,Tulsa,American Athletic,fourthDowns,23
2019,Notre Dame,FBS Independents,fumblesRecovered,27
2019,Florida State,ACC,rushingTDs,24
2019,North Texas,Conference USA,sacks,44
2019,Penn State,Big Ten,penalties,57
2019,Boston College,ACC,turnovers,12
2019,Washington,Pac-12,rushingAttempts,461
2019,Texas A&M,SEC,turnovers,20
2019,Kansas State,Big 12,penaltyYards,679
2019,Eastern Michigan,Mid-American,turnovers,17
2019,Notre Dame,FBS Independents,puntReturns,24
2019,Southern Mississippi,Conference USA,passAttempts,438
2019,Ohio State,Big Ten,fumblesLost,13
2019,Hawai'i,Mountain West,puntReturnYards,102
2019,Middle Tennessee,Conference USA,rushingYards,2085
2019,UTEP,Conference USA,fourthDowns,25
2019,Kentucky,SEC,turnovers,20
2019,Florida,SEC,kickReturnYards,184
2019,Kentucky,SEC,kickReturns,22
2019,Nebraska,Big Ten,fourthDownConversions,10
2019,UMass,FBS Independents,fumblesRecovered,16
2019,Troy,Sun Belt,penalties,64
2019,Wisconsin,Big Ten,tacklesForLoss,120
2019,Rutgers,Big Ten,penaltyYards,709
2019,BYU,FBS Independents,penaltyYards,668
2019,Old Dominion,Conference USA,passCompletions,207
2019,Illinois,Big Ten,kickReturnTDs,0
2019,Wyoming,Mountain West,thirdDownConversions,81
2019,Penn State,Big Ten,games,13
2019,Buffalo,Mid-American,possessionTime,26548
2019,Georgia,SEC,sacks,37
2019,Liberty,FBS Independents,passingTDs,29
2019,Tulane,American Athletic,turnovers,18
2019,Buffalo,Mid-American,totalYards,5051
2019,Toledo,Mid-American,sacks,20
2019,Georgia Southern,Sun Belt,penalties,66
2019,Pittsburgh,ACC,thirdDownConversions,84
2019,Virginia Tech,ACC,puntReturnYards,242
2019,Colorado,Pac-12,penaltyYards,726
2019,Florida,SEC,kickReturns,10
2019,Pittsburgh,ACC,puntReturns,36
2019,Purdue,Big Ten,kickReturnTDs,0
2019,UAB,Conference USA,fourthDownConversions,8
2019,Florida,SEC,passAttempts,467
2019,Troy,Sun Belt,penaltyYards,597
2019,North Carolina,ACC,possessionTime,23655
2019,Stanford,Pac-12,fourthDownConversions,5
2019,Auburn,SEC,fourthDownConversions,7
2019,Florida Atlantic,Conference USA,rushingTDs,32
2019,Michigan State,Big Ten,possessionTime,24483
2019,Indiana,Big Ten,tacklesForLoss,94
2019,Troy,Sun Belt,fumblesRecovered,9
2019,Charlotte,Conference USA,rushingTDs,26
2019,Arizona State,Pac-12,passesIntercepted,13
2019,Virginia,ACC,thirdDownConversions,92
2019,New Mexico,Mountain West,firstDowns,245
2019,Rice,Conference USA,interceptions,4
2019,Georgia State,Sun Belt,possessionTime,23100
2019,Oregon,Pac-12,interceptions,6
2019,Iowa,Big Ten,kickReturnTDs,2
2019,Louisiana Tech,Conference USA,thirdDownConversions,72
2019,Iowa State,Big 12,fumblesLost,7
2019,South Florida,American Athletic,passAttempts,328
2019,Virginia Tech,ACC,turnovers,22
2019,South Alabama,Sun Belt,firstDowns,216
2019,Mississippi State,SEC,firstDowns,279
2019,Connecticut,American Athletic,fumblesRecovered,13
2019,Ole Miss,SEC,rushingYards,3012
2019,South Carolina,SEC,sacks,35
2019,Northern Illinois,Mid-American,possessionTime,22025
2019,Notre Dame,FBS Independents,rushingYards,2311
2019,Connecticut,American Athletic,penaltyYards,618
2019,North Texas,Conference USA,possessionTime,20261
2019,Air Force,Mountain West,rushingAttempts,755
2019,Oklahoma,Big 12,rushingYards,3361
2019,UCF,American Athletic,turnovers,15
2019,San José State,Mountain West,fumblesRecovered,13
2019,UCLA,Pac-12,thirdDownConversions,77
2019,Miami,ACC,interceptionYards,136
2019,Western Michigan,Mid-American,penalties,82
2019,Hawai'i,Mountain West,turnovers,30
2019,San Diego State,Mountain West,netPassingYards,2634
2019,Oregon State,Pac-12,games,12
2019,Louisiana,Sun Belt,passingTDs,27
2019,Western Michigan,Mid-American,firstDowns,288
2019,Cincinnati,American Athletic,fumblesRecovered,18
2019,LSU,SEC,interceptions,7
2019,Louisiana Monroe,Sun Belt,thirdDownConversions,70
2019,Wake Forest,ACC,penaltyYards,460
2019,BYU,FBS Independents,puntReturnYards,283
2019,San José State,Mountain West,passingTDs,24
2019,Northwestern,Big Ten,turnovers,23
2019,South Carolina,SEC,fumblesRecovered,8
2019,Northern Illinois,Mid-American,rushingYards,1661
2019,Washington,Pac-12,interceptionYards,139
2019,Troy,Sun Belt,passingTDs,30
2019,Temple,American Athletic,thirdDowns,201
2019,Notre Dame,FBS Independents,turnovers,11
2019,Utah State,Mountain West,netPassingYards,3628
2019,Boston College,ACC,passingTDs,20
2019,Arizona State,Pac-12,rushingYards,1602
2019,Northwestern,Big Ten,penalties,65
2019,Charlotte,Conference USA,possessionTime,24958
2019,Georgia Tech,ACC,totalYards,3436
2019,Tulsa,American Athletic,puntReturnYards,58
2019,Utah State,Mountain West,puntReturns,12
2019,UAB,Conference USA,interceptions,20
2019,Utah State,Mountain West,rushingYards,1979
2019,Georgia,SEC,fumblesLost,7
2019,Notre Dame,FBS Independents,puntReturnYards,211
2019,NC State,ACC,tacklesForLoss,102
2019,Coastal Carolina,Sun Belt,kickReturnTDs,0
2019,UCLA,Pac-12,fourthDowns,29
2019,East Carolina,American Athletic,kickReturns,42
2019,Oklahoma,Big 12,netPassingYards,4164
2019,North Carolina,ACC,netPassingYards,3716
2019,Kansas State,Big 12,turnovers,13
2019,Indiana,Big Ten,kickReturnYards,688
2019,Georgia,SEC,netPassingYards,3122
2019,Appalachian State,Sun Belt,possessionTime,25733
2019,Louisiana,Sun Belt,passCompletions,268
2019,Tulane,American Athletic,interceptionYards,129
2019,Indiana,Big Ten,puntReturnTDs,0
2019,Wyoming,Mountain West,thirdDowns,188
2019,Kansas,Big 12,rushingAttempts,383
2019,Oregon,Pac-12,fourthDowns,25
2019,UT San Antonio,Conference USA,interceptions,11
2019,Notre Dame,FBS Independents,kickReturns,29
2019,Florida Atlantic,Conference USA,rushingYards,2325
2019,Southern Mississippi,Conference USA,penalties,81
2019,Vanderbilt,SEC,rushingTDs,11
2019,Ohio State,Big Ten,interceptions,3
2019,Florida International,Conference USA,fumblesRecovered,9
2019,Troy,Sun Belt,rushingYards,1717
2019,South Florida,American Athletic,thirdDowns,177
2019,West Virginia,Big 12,penalties,71
2019,Boston College,ACC,thirdDownConversions,89
2019,SMU,American Athletic,penaltyYards,743
2019,West Virginia,Big 12,fourthDowns,19
2019,Louisiana Tech,Conference USA,interceptionTDs,5
2019,Minnesota,Big Ten,interceptionYards,240
2019,Eastern Michigan,Mid-American,netPassingYards,3681
2019,Georgia State,Sun Belt,rushingYards,3141
2019,Buffalo,Mid-American,interceptionYards,152
2019,North Carolina,ACC,firstDowns,315
2019,Rice,Conference USA,penalties,45
2019,Fresno State,Mountain West,games,12
2019,Georgia State,Sun Belt,firstDowns,305
2019,UMass,FBS Independents,interceptionYards,118
2019,Bowling Green,Mid-American,kickReturnYards,799
2019,LSU,SEC,netPassingYards,6024
2019,Colorado State,Mountain West,kickReturns,34
2019,Utah,Pac-12,penaltyYards,870
2019,Arkansas,SEC,games,12
2019,Louisiana Monroe,Sun Belt,puntReturns,10
2019,Georgia Tech,ACC,fourthDowns,17
2019,San José State,Mountain West,rushingYards,1073
2019,Arizona State,Pac-12,interceptionTDs,1
2019,Navy,American Athletic,netPassingYards,1238
2019,Western Michigan,Mid-American,kickReturns,36
2019,Baylor,Big 12,netPassingYards,3571
2019,Oregon,Pac-12,netPassingYards,3615
2019,Baylor,Big 12,passesIntercepted,16
2019,Air Force,Mountain West,passCompletions,68
2019,Oklahoma,Big 12,fumblesRecovered,4
2019,Wyoming,Mountain West,sacks,44
2019,Baylor,Big 12,puntReturnYards,134
2019,NC State,ACC,possessionTime,21154
2019,Vanderbilt,SEC,fumblesRecovered,6
2019,Oregon State,Pac-12,fourthDownConversions,13
2019,Utah,Pac-12,games,14
2019,Hawai'i,Mountain West,games,15
2019,Tulane,American Athletic,thirdDownConversions,70
2019,Nebraska,Big Ten,puntReturnTDs,1
2019,Colorado,Pac-12,thirdDownConversions,74
2019,North Texas,Conference USA,totalYards,5026
2019,Clemson,ACC,tacklesForLoss,139
2019,Tulane,American Athletic,passAttempts,336
2019,UAB,Conference USA,rushingAttempts,558
2019,Texas,Big 12,fourthDowns,19
2019,North Carolina,ACC,rushingAttempts,528
2019,Michigan,Big Ten,rushingTDs,26
2019,Vanderbilt,SEC,rushingYards,1496
2019,Charlotte,Conference USA,fumblesLost,5
2019,Florida State,ACC,turnovers,21
2019,Clemson,ACC,possessionTime,27242
2019,Georgia,SEC,interceptions,6
2019,Arizona,Pac-12,netPassingYards,3193
2019,Arizona,Pac-12,firstDowns,269
2019,Oregon State,Pac-12,puntReturns,13
2019,SMU,American Athletic,fumblesLost,5
2019,Louisville,ACC,interceptions,9
2019,Washington,Pac-12,kickReturnYards,388
2019,California,Pac-12,kickReturnYards,442
2019,East Carolina,American Athletic,penaltyYards,615
2019,Middle Tennessee,Conference USA,passesIntercepted,8
2019,Louisiana Tech,Conference USA,sacks,34
2019,Army,FBS Independents,passAttempts,126
2019,Iowa State,Big 12,tacklesForLoss,99
2019,Alabama,SEC,puntReturnTDs,3
2019,Pittsburgh,ACC,passesIntercepted,9
2019,Indiana,Big Ten,passingTDs,24
2019,Illinois,Big Ten,puntReturnTDs,0
2019,Bowling Green,Mid-American,rushingYards,1941
2019,Connecticut,American Athletic,passCompletions,228
2019,Virginia,ACC,penalties,66
2019,Louisiana Monroe,Sun Belt,kickReturnTDs,0
2019,Georgia Tech,ACC,puntReturnTDs,0
2019,Bowling Green,Mid-American,puntReturnTDs,0
2019,UCLA,Pac-12,passAttempts,426
2019,Old Dominion,Conference USA,rushingAttempts,431
2019,New Mexico,Mountain West,fumblesLost,11
2019,Maryland,Big Ten,thirdDownConversions,54
2019,UCF,American Athletic,sacks,38
2019,SMU,American Athletic,passAttempts,503
2019,Georgia State,Sun Belt,puntReturnTDs,0
2019,Middle Tennessee,Conference USA,puntReturnTDs,0
2019,Maryland,Big Ten,fumblesLost,9
2019,Western Kentucky,Conference USA,tacklesForLoss,76
2019,BYU,FBS Independents,games,13
2019,Ohio,Mid-American,fumblesRecovered,14
2019,Oklahoma,Big 12,thirdDowns,155
2019,Boston College,ACC,puntReturns,19
2019,Central Michigan,Mid-American,rushingYards,2218
2019,NC State,ACC,rushingAttempts,418
2019,Michigan State,Big Ten,netPassingYards,3182
2019,Western Kentucky,Conference USA,interceptionYards,49
2019,Purdue,Big Ten,games,12
2019,Stanford,Pac-12,puntReturns,14
2019,Louisiana,Sun Belt,fourthDowns,17
2019,Stanford,Pac-12,sacks,39
2019,Georgia Southern,Sun Belt,rushingAttempts,667
2019,Fresno State,Mountain West,passesIntercepted,11
2019,Arizona State,Pac-12,passingTDs,21
2019,South Alabama,Sun Belt,fourthDownConversions,12
2019,Boston College,ACC,passAttempts,305
2019,LSU,SEC,thirdDownConversions,90
2019,NC State,ACC,passAttempts,463
2019,Wisconsin,Big Ten,fumblesRecovered,17
2019,West Virginia,Big 12,kickReturns,35
2019,Virginia,ACC,penaltyYards,612
2019,UAB,Conference USA,firstDowns,252
2019,Colorado,Pac-12,fumblesLost,3
2019,Notre Dame,FBS Independents,thirdDowns,185
2019,Oklahoma State,Big 12,rushingAttempts,562
2019,Colorado,Pac-12,firstDowns,257
2019,Illinois,Big Ten,penalties,87
2019,Washington State,Pac-12,thirdDownConversions,60
2019,Florida,SEC,passingTDs,33
2019,Auburn,SEC,penaltyYards,718
2019,Kent State,Mid-American,penaltyYards,781
2019,Arkansas State,Sun Belt,kickReturnTDs,1
2019,Vanderbilt,SEC,thirdDowns,166
2019,Army,FBS Independents,fourthDownConversions,26
2019,Kansas,Big 12,interceptionTDs,1
2019,Rice,Conference USA,tacklesForLoss,97
2019,Florida Atlantic,Conference USA,penalties,95
2019,Hawai'i,Mountain West,interceptionYards,323
2019,Washington State,Pac-12,games,13
2019,UCF,American Athletic,totalYards,7026
2019,Northern Illinois,Mid-American,rushingTDs,15
2019,Indiana,Big Ten,puntReturnYards,68
2019,Navy,American Athletic,tacklesForLoss,101
2019,Nebraska,Big Ten,rushingYards,2439
2019,UMass,FBS Independents,passAttempts,392
2019,Texas State,Sun Belt,puntReturnYards,124
2019,Kansas State,Big 12,kickReturnYards,1003
2019,Iowa,Big Ten,puntReturnYards,121
2019,Auburn,SEC,puntReturnTDs,0
2019,Miami (OH),Mid-American,thirdDowns,201
2019,Houston,American Athletic,puntReturnTDs,2
2019,Arizona,Pac-12,possessionTime,19733
2019,USC,Pac-12,puntReturns,21
2019,UMass,FBS Independents,puntReturnTDs,1
2019,Arkansas,SEC,kickReturnYards,649
2019,Baylor,Big 12,tacklesForLoss,149
2019,Eastern Michigan,Mid-American,penalties,59
2019,Marshall,Conference USA,puntReturns,21
2019,Nebraska,Big Ten,passCompletions,194
2019,Western Kentucky,Conference USA,interceptionTDs,1
2019,Wake Forest,ACC,passAttempts,469
2019,Tennessee,SEC,sacks,45
2019,Boston College,ACC,rushingTDs,27
2019,Tennessee,SEC,possessionTime,22904
2019,San Diego State,Mountain West,interceptionTDs,0
2019,Louisiana Monroe,Sun Belt,totalYards,5531
2019,Appalachian State,Sun Belt,rushingYards,3240
2019,Georgia Tech,ACC,puntReturnYards,76
2019,Marshall,Conference USA,turnovers,18
2019,Houston,American Athletic,netPassingYards,2440
2019,Army,FBS Independents,firstDowns,272
2019,Penn State,Big Ten,sacks,63
2019,Arizona State,Pac-12,passCompletions,233
2019,Wake Forest,ACC,fumblesRecovered,14
2019,Wake Forest,ACC,fourthDowns,17
2019,Michigan,Big Ten,interceptions,9
2019,South Florida,American Athletic,possessionTime,20047
2019,Navy,American Athletic,games,13
2019,BYU,FBS Independents,interceptionTDs,1
2019,Duke,ACC,fourthDownConversions,20
2019,Iowa State,Big 12,firstDowns,298
2019,Ball State,Mid-American,possessionTime,21796
2019,Miami,ACC,puntReturnTDs,0
2019,Wyoming,Mountain West,possessionTime,23865
2019,UNLV,Mountain West,penalties,65
2019,Texas,Big 12,sacks,27
2019,Ohio,Mid-American,fumblesLost,13
2019,Coastal Carolina,Sun Belt,passCompletions,217
2019,Oklahoma,Big 12,possessionTime,25995
2019,Arkansas State,Sun Belt,kickReturnYards,954
2019,Missouri,SEC,fourthDownConversions,7
2019,Boise State,Mountain West,puntReturnYards,301
2019,Rice,Conference USA,totalYards,3530
2019,UCF,American Athletic,fumblesRecovered,12
2019,Louisiana,Sun Belt,passAttempts,412
2019,UT San Antonio,Conference USA,fumblesLost,12
2019,Tulane,American Athletic,passesIntercepted,12
2019,Georgia Tech,ACC,interceptionYards,65
2019,Utah State,Mountain West,sacks,30
2019,South Carolina,SEC,puntReturnYards,146
2019,Middle Tennessee,Conference USA,interceptionYards,68
2019,TCU,Big 12,tacklesForLoss,79
2019,Kent State,Mid-American,sacks,26
2019,Washington State,Pac-12,rushingTDs,12
2019,Akron,Mid-American,fourthDowns,23
2019,UMass,FBS Independents,passingTDs,15
2019,Iowa State,Big 12,penalties,61
2019,Louisiana Monroe,Sun Belt,kickReturnYards,621
2019,USC,Pac-12,possessionTime,22458
2019,Pittsburgh,ACC,sacks,60
2019,Virginia,ACC,interceptionYards,279
2019,Mississippi State,SEC,interceptions,10
2019,East Carolina,American Athletic,tacklesForLoss,90
2019,UCLA,Pac-12,rushingAttempts,490
2019,Wisconsin,Big Ten,passesIntercepted,12
2019,Michigan,Big Ten,puntReturns,37
2019,Texas Tech,Big 12,penalties,75
2019,Ball State,Mid-American,passAttempts,373
2019,Middle Tennessee,Conference USA,fumblesRecovered,17
2019,Miami,ACC,totalYards,4774
2019,Penn State,Big Ten,fourthDowns,18
2019,Northwestern,Big Ten,kickReturnYards,374
2019,Boise State,Mountain West,kickReturnYards,826
2019,Wake Forest,ACC,fumblesLost,4
2019,UMass,FBS Independents,fourthDowns,29
2019,Coastal Carolina,Sun Belt,thirdDownConversions,70
2019,Arizona,Pac-12,puntReturnYards,89
2019,UAB,Conference USA,passCompletions,192
2019,Florida Atlantic,Conference USA,possessionTime,23934
2019,UTEP,Conference USA,turnovers,14
2019,Houston,American Athletic,penaltyYards,579
2019,TCU,Big 12,passesIntercepted,16
2019,Middle Tennessee,Conference USA,kickReturnYards,163
2019,Ohio State,Big Ten,passCompletions,271
2019,Navy,American Athletic,fumblesRecovered,12
2019,Indiana,Big Ten,fumblesLost,6
2019,Texas A&M,SEC,puntReturnYards,330
2019,Colorado State,Mountain West,rushingYards,1586
2019,Iowa,Big Ten,passAttempts,411
2019,Troy,Sun Belt,totalYards,5475
2019,UT San Antonio,Conference USA,passesIntercepted,6
2019,SMU,American Athletic,totalYards,6335
2019,Wisconsin,Big Ten,totalYards,6064
2019,Kentucky,SEC,possessionTime,25080
2019,Arizona,Pac-12,puntReturns,14
2019,Illinois,Big Ten,rushingTDs,19
2019,East Carolina,American Athletic,interceptionYards,108
2019,Georgia Southern,Sun Belt,fourthDowns,14
2019,Arkansas,SEC,puntReturns,14
2019,California,Pac-12,interceptions,9
2019,Florida,SEC,penalties,67
2019,Boise State,Mountain West,possessionTime,25981
2019,Navy,American Athletic,totalYards,5925
2019,Western Kentucky,Conference USA,possessionTime,24956
2019,Nebraska,Big Ten,kickReturnTDs,0
2019,Georgia State,Sun Belt,netPassingYards,2577
2019,Texas Tech,Big 12,turnovers,16
2019,West Virginia,Big 12,puntReturnYards,55
2019,New Mexico,Mountain West,netPassingYards,2340
2019,Louisiana,Sun Belt,kickReturnTDs,0
2019,Oklahoma,Big 12,thirdDownConversions,77
2019,Arizona,Pac-12,sacks,23
2019,San Diego State,Mountain West,totalYards,4461
2019,Tulane,American Athletic,rushingTDs,33
2019,UT San Antonio,Conference USA,fourthDownConversions,17
2019,Middle Tennessee,Conference USA,passingTDs,22
2019,Ole Miss,SEC,passesIntercepted,10
2019,Pittsburgh,ACC,possessionTime,23926
2019,South Carolina,SEC,kickReturns,22
2019,Marshall,Conference USA,penaltyYards,680
2019,Florida International,Conference USA,totalYards,4908
